0,1
Norway,2005f
Romania,2005f
Russia,2005f
Serbia & Montenegro,2005f
Spain,2005f
Sweden,2005f
Switzerland,2005f
Turkey,2005f
Ukraine,2005f
United Kingdom,2005f
Armenia,2006f
Bosnia & Herzegovina,2006f
Croatia,2006f
Denmark,2006f
F.Y.R. Macedonia,2006f
Finland,2006f
France,2006f
Germany,2006f
Greece,2006f
Ireland,2006f
Israel,2006f
Latvia,2006f
Lithuania,2006f
Malta,2006f
Moldova,2006f
Norway,2006f
Romania,2006f
Russia,2006f
Spain,2006f
Sweden,2006f
Switzerland,2006f
Turkey,2006f
Ukraine,2006f
United Kingdom,2006f
Armenia,2007f
Belarus,2007f
Bosnia & Herzegovina,2007f
Bulgaria,2007f
F.Y.R. Macedonia,2007f
Finland,2007f
France,2007f
Georgia,2007f
Germany,2007f
Greece,2007f
Hungary,2007f
Ireland,2007f
Latvia,2007f
Lithuania,2007f
Moldova,2007f
Romania,2007f
Russia,2007f
Serbia,2007f
Slovenia,2007f
Spain,2007f
Sweden,2007f
Turkey,2007f
Ukraine,2007f
United Kingdom,2007f
Albania,2008f
Armenia,2008f
Azerbaijan,2008f
Bosnia & Herzegovina,2008f
Croatia,2008f
Denmark,2008f
Finland,2008f
France,2008f
Georgia,2008f
Germany,2008f
Greece,2008f
Iceland,2008f
Israel,2008f
Latvia,2008f
Norway,2008f
Poland,2008f
Portugal,2008f
Romania,2008f
Russia,2008f
Serbia,2008f
Spain,2008f
Sweden,2008f
Turkey,2008f
Ukraine,2008f
United Kingdom,2008f
Albania,2009f
Armenia,2009f
Azerbaijan,2009f
Bosnia & Herzegovina,2009f
Croatia,2009f
Denmark,2009f
Estonia,2009f
Finland,2009f
France,2009f
Germany,2009f
Greece,2009f
Iceland,2009f
Israel,2009f
Lithuania,2009f
Malta,2009f
Moldova,2009f
Norway,2009f
Portugal,2009f
Romania,2009f
Russia,2009f
Spain,2009f
Sweden,2009f
Turkey,2009f
Ukraine,2009f
United Kingdom,2009f
Albania,2010f
Armenia,2010f
Azerbaijan,2010f
Belarus,2010f
Belgium,2010f
Bosnia & Herzegovina,2010f
Cyprus,2010f
Denmark,2010f
France,2010f
Georgia,2010f
Germany,2010f
Greece,2010f
Iceland,2010f
Ireland,2010f
Israel,2010f
Moldova,2010f
Norway,2010f
Portugal,2010f
Romania,2010f
Russia,2010f
Serbia,2010f
Spain,2010f
Turkey,2010f
Ukraine,2010f
United Kingdom,2010f
Austria,2011f
Azerbaijan,2011f
Bosnia & Herzegovina,2011f
Denmark,2011f
Estonia,2011f
Finland,2011f
France,2011f
Georgia,2011f
Germany,2011f
Greece,2011f
Hungary,2011f
Iceland,2011f
Ireland,2011f
Italy,2011f
Lithuania,2011f
Moldova,2011f
Romania,2011f
Russia,2011f
Serbia,2011f
Slovenia,2011f
Spain,2011f
Sweden,2011f
Switzerland,2011f
Ukraine,2011f
United Kingdom,2011f
Albania,2012f
Azerbaijan,2012f
Bosnia & Herzegovina,2012f
Cyprus,2012f
Denmark,2012f
Estonia,2012f
F.Y.R. Macedonia,2012f
France,2012f
Germany,2012f
Greece,2012f
Hungary,2012f
Iceland,2012f
Ireland,2012f
Italy,2012f
Lithuania,2012f
Malta,2012f
Moldova,2012f
Norway,2012f
Romania,2012f
Russia,2012f
Serbia,2012f
Spain,2012f
Sweden,2012f
Turkey,2012f
Ukraine,2012f
United Kingdom,2012f
Armenia,2013f
Azerbaijan,2013f
Belarus,2013f
Belgium,2013f
Denmark,2013f
Estonia,2013f
Finland,2013f
France,2013f
Georgia,2013f
Germany,2013f
Greece,2013f
Hungary,2013f
Iceland,2013f
Ireland,2013f
Italy,2013f
Lithuania,2013f
Malta,2013f
Moldova,2013f
Netherlands,2013f
Norway,2013f
Romania,2013f
Russia,2013f
Spain,2013f
Sweden,2013f
Ukraine,2013f
United Kingdom,2013f
Armenia,2014f
Austria,2014f
Azerbaijan,2014f
Belarus,2014f
Denmark,2014f
Finland,2014f
France,2014f
Germany,2014f
Greece,2014f
Hungary,2014f
Iceland,2014f
Italy,2014f
Malta,2014f
Montenegro,2014f
Netherlands,2014f
Norway,2014f
Poland,2014f
Romania,2014f
Russia,2014f
San Marino,2014f
Slovenia,2014f
Spain,2014f
Sweden,2014f
Switzerland,2014f
Ukraine,2014f
United Kingdom,2014f
Albania,2015f
Armenia,2015f
Australia,2015f
Austria,2015f
Azerbaijan,2015f
Belgium,2015f
Cyprus,2015f
Estonia,2015f
France,2015f
Georgia,2015f
Germany,2015f
Greece,2015f
Hungary,2015f
Israel,2015f
Italy,2015f
Latvia,2015f
Lithuania,2015f
Montenegro,2015f
Norway,2015f
Poland,2015f
Romania,2015f
Russia,2015f
Serbia,2015f
Slovenia,2015f
Spain,2015f
Sweden,2015f
United Kingdom,2015f
Armenia,2016f
Australia,2016f
Austria,2016f
Azerbaijan,2016f
Belgium,2016f
Bulgaria,2016f
Croatia,2016f
Cyprus,2016f
Czech Republic,2016f
France,2016f
Georgia,2016f
Germany,2016f
Hungary,2016f
Israel,2016f
Italy,2016f
Latvia,2016f
Lithuania,2016f
Malta,2016f
Netherlands,2016f
Poland,2016f
Russia,2016f
Serbia,2016f
Spain,2016f
Sweden,2016f
Ukraine,2016f
United Kingdom,2016f
Armenia,2017f
Australia,2017f
Austria,2017f
Azerbaijan,2017f
Belarus,2017f
Belgium,2017f
Bulgaria,2017f
Croatia,2017f
Cyprus,2017f
Denmark,2017f
France,2017f
Germany,2017f
Greece,2017f
Hungary,2017f
Israel,2017f
Italy,2017f
Moldova,2017f
Netherlands,2017f
Norway,2017f
Poland,2017f
Portugal,2017f
Romania,2017f
Spain,2017f
Sweden,2017f
Ukraine,2017f
United Kingdom,2017f
Albania,2018f
Australia,2018f
Austria,2018f
Bulgaria,2018f
Cyprus,2018f
Czech Republic,2018f
Denmark,2018f
Estonia,2018f
Finland,2018f
France,2018f
Germany,2018f
Hungary,2018f
Ireland,2018f
Israel,2018f
Italy,2018f
Lithuania,2018f
Moldova,2018f
Netherlands,2018f
Norway,2018f
Portugal,2018f
Serbia,2018f
Slovenia,2018f
Spain,2018f
Sweden,2018f
Ukraine,2018f
United Kingdom,2018f
Albania,2019f
Australia,2019f
Azerbaijan,2019f
Belarus,2019f
Cyprus,2019f
Czech Republic,2019f
Denmark,2019f
Estonia,2019f
France,2019f
Germany,2019f
Greece,2019f
Iceland,2019f
Israel,2019f
Italy,2019f
Malta,2019f
Netherlands,2019f
North Macedonia,2019f
Norway,2019f
Russia,2019f
San Marino,2019f
Serbia,2019f
Slovenia,2019f
Spain,2019f
Sweden,2019f
Switzerland,2019f
United Kingdom,2019f
Albania,2021f
Azerbaijan,2021f
Belgium,2021f
Bulgaria,2021f
Cyprus,2021f
Finland,2021f
France,2021f
Germany,2021f
Greece,2021f
Iceland,2021f
Israel,2021f
Italy,2021f
Lithuania,2021f
Malta,2021f
Moldova,2021f
Netherlands,2021f
Norway,2021f
Portugal,2021f
Russia,2021f
San Marino,2021f
Serbia,2021f
Spain,2021f
Sweden,2021f
Switzerland,2021f
Ukraine,2021f
United Kingdom,2021f
Armenia,2022f
Australia,2022f
Azerbaijan,2022f
Belgium,2022f
Czech Republic,2022f
Estonia,2022f
Finland,2022f
France,2022f
Germany,2022f
Greece,2022f
Iceland,2022f
Italy,2022f
Lithuania,2022f
Moldova,2022f
Netherlands,2022f
Norway,2022f
Poland,2022f
Portugal,2022f
Romania,2022f
Serbia,2022f
Spain,2022f
Sweden,2022f
Switzerland,2022f
Ukraine,2022f
United Kingdom,2022f
Albania,2023f
Armenia,2023f
Australia,2023f
Austria,2023f
Belgium,2023f
Croatia,2023f
Cyprus,2023f
Czech Republic,2023f
Estonia,2023f
Finland,2023f
France,2023f
Germany,2023f
Israel,2023f
Italy,2023f
Lithuania,2023f
Moldova,2023f
Norway,2023f
Poland,2023f
Portugal,2023f
Serbia,2023f
Slovenia,2023f
Spain,2023f
Sweden,2023f
Switzerland,2023f
Ukraine,2023f
United Kingdom,2023f
